"fips" "scc" "pollutant" "emissions" "type" "year" "data.category" "short.name" "ei.sector" "option.group" "option.set" "scc.level.one" "scc.level.two" "scc.level.three" "scc.level.four" "map.to" "last.inventory.year" "created_date" "revised_date" "usage.notes"
"48203" "30101802" "PM25-PRI" 0.1531 "POINT" 2008 "Point" "Chem Manuf /Plastics Production /Polypropylene and Copolymers" "Industrial Processes - Chemical Manuf" "" "" "Industrial Processes" "Chemical Manufacturing" "Plastics Production" "Polypropylene and Copolymers" NA NA "" "" ""
"17055" "2267002033" "PM25-PRI" 2.32522e-05 "NON-ROAD" 2005 "Nonroad" "Off-highway LPG /Construction & Mining Equipt /Bore/Drill Rigs" "Mobile - Non-Road Equipment - Other" "" "" "Mobile Sources" "LPG" "Construction and Mining Equipment" "Bore/Drill Rigs" NA NA "12/10/1999 0:00:00" "" ""
"19119" "2265004035" "PM25-PRI" 0.000662376 "NON-ROAD" 2008 "Nonroad" "Off-highway Gasoline, 4-Stroke /Lawn & Garden Equipt /Snowblowers (Residential)" "Mobile - Non-Road Equipment - Gasoline" "" "" "Mobile Sources" "Off-highway Vehicle Gasoline, 4-Stroke" "Lawn and Garden Equipment" "Snowblowers (Residential)" NA NA "" "12/10/1999 0:00:00" ""
"46029" "220102019X" "PM25-PRI" 0.0060751718 "ON-ROAD" 2002 "Onroad" "Highway Veh - Gasoline - Light Duty Trucks 1 & 2 - Rural Minor Collector: Exhaust" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Minor Collector: Exhaust" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"50001" "2270005030" "PM25-PRI" 0.0020486405 "NON-ROAD" 2005 "Nonroad" "Off-highway Diesel /Agricultural Equipt /Agricultural Mowers" "Mobile - Non-Road Equipment - Diesel" "" "" "Mobile Sources" "Off-highway Vehicle Diesel" "Agricultural Equipment" "Agricultural Mowers" NA NA "" "" ""
"19193" "2260005050" "PM25-PRI" 0.01 "NON-ROAD" 1999 "Nonroad" "Off-highway Gasoline, 2-Stroke /Agricultural Equipt /Hydro-power Units" "Mobile - Non-Road Equipment - Gasoline" "" "" "Mobile Sources" "Off-highway Vehicle Gasoline, 2-Stroke" "Agricultural Equipment" "Hydro-power Units" 2260006035 2002 "" "1/9/2006 0:00:00" ""
"19033" "223007429X" "PM25-PRI" 1.75 "ON-ROAD" 2002 "Onroad" "Highway Veh - Diesel - Heavy Duty (HDDV) Class 8A & 8B - Urban Minor Arterial: Exhaust" "Mobile - On-Road Diesel Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Heavy Duty Diesel Vehicles (HDDV) Class 8A & 8B" "Urban Minor Arterial: Exhaust" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"39007" "10100202" "PM25-PRI" 1326.229 "POINT" 1999 "Point" "Ext Comb /Electric Gen /Bituminous Coal /Pulverized Coal: Dry Bottom" "Fuel Comb - Electric Generation - Coal" "" "" "External Combustion Boilers" "Electric Generation" "Bituminous/Subbituminous Coal" "Pulverized Coal: Dry Bottom (Bituminous Coal)" NA NA "" "" ""
"21211" "2282020005" "PM25-PRI" 0.03 "NON-ROAD" 2002 "Nonroad" "Pleasure Craft /Diesel /Inboard/Sterndrive" "Mobile - Non-Road Equipment - Diesel" "" "" "Mobile Sources" "Pleasure Craft" "Diesel" "Inboard/Sterndrive" NA NA "" "12/10/1999 0:00:00" ""
"32013" "2267002057" "PM25-PRI" 0 "NON-ROAD" 1999 "Nonroad" "Off-highway LPG /Construction & Mining Equipt /Rough Terrain Forklifts" "Mobile - Non-Road Equipment - Other" "" "" "Mobile Sources" "LPG" "Construction and Mining Equipment" "Rough Terrain Forklifts" NA NA "12/10/1999 0:00:00" "" ""
"13153" "223000129X" "PM25-PRI" 0.05 "ON-ROAD" 2002 "Onroad" "Highway Veh - Diesel - Light Duty Vehicles (LDDV) - Urban Minor Arterial: Exhaust" "Mobile - On-Road Diesel Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Light Duty Diesel Vehicles (LDDV)" "Urban Minor Arterial: Exhaust" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"51580" "223007527B" "PM25-PRI" 0.000159611726303409 "ON-ROAD" 2005 "Onroad" "Highway Veh - Diesel - Heavy Duty Buses (School & Transit) - Urban Other Principal Arterial: Brake Wear" "Mobile - On-Road Diesel Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Heavy Duty Diesel Buses (School & Transit)" "Urban Other Principal Arterial: Brake Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"31147" "223007317T" "PM25-PRI" 0.00115191386430522 "ON-ROAD" 2005 "Onroad" "Highway Veh - Diesel - Heavy Duty (HDDV) Class 6 & 7 - Rural Major Collector: Tire Wear" "Mobile - On-Road Diesel Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Heavy Duty Diesel Vehicles (HDDV) Class 6 & 7" "Rural Major Collector: Tire Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"22101" "223007417X" "PM25-PRI" 0.46 "ON-ROAD" 2005 "Onroad" "Highway Veh - Diesel - Heavy Duty (HDDV) Class 8A & 8B - Rural Major Collector: Exhaust" "Mobile - On-Road Diesel Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Heavy Duty Diesel Vehicles (HDDV) Class 8A & 8B" "Rural Major Collector: Exhaust" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"19023" "2260006015" "PM25-PRI" 3.7499341488001e-05 "NON-ROAD" 2002 "Nonroad" "Off-highway Gasoline, 2-Stroke /Commercial Equipt /Air Compressors" "Mobile - Non-Road Equipment - Gasoline" "" "" "Mobile Sources" "Off-highway Vehicle Gasoline, 2-Stroke" "Commercial Equipment" "Air Compressors" NA NA "" "12/10/1999 0:00:00" ""
"17031" "30102699" "PM25-PRI" 0.362791 "POINT" 2008 "Point" "Synthetic Rubber Manuf /Other Not Classified" "Industrial Processes - Chemical Manuf" "" "" "Industrial Processes" "Chemical Manufacturing" "Synthetic Rubber (Manufacturing Only)" "Other Not Classified" NA NA "" "" ""
"18027" "2267002054" "PM25-PRI" 2.4884149e-06 "NON-ROAD" 2005 "Nonroad" "Off-highway LPG /Construction & Mining Equipt /Crushing/Processing Equipt" "Mobile - Non-Road Equipment - Other" "" "" "Mobile Sources" "LPG" "Construction and Mining Equipment" "Crushing/Processing Equipment" NA NA "12/10/1999 0:00:00" "" ""
"33011" "2275070000" "PM25-PRI" 0.0470145 "POINT" 2008 "Point" "Aircraft /Aircraft Auxiliary Power Units /Total" "Mobile - Non-Road Equipment - Other" "" "" "Mobile Sources" "Aircraft" "Aircraft Auxiliary Power Units" "Total" NA NA "" "" ""
"12115" "2265002081" "PM25-PRI" 0.00278397 "NON-ROAD" 2008 "Nonroad" "Off-highway Gasoline, 4-Stroke /Construction & Mining Equipt /Other Construction Equipt" "Mobile - Non-Road Equipment - Gasoline" "" "" "Mobile Sources" "Off-highway Vehicle Gasoline, 4-Stroke" "Construction and Mining Equipment" "Other Construction Equipment" NA NA "" "" ""
"36015" "220107033X" "PM25-PRI" 0.12 "ON-ROAD" 2002 "Onroad" "Highway Veh - Gasoline - Heavy Duty Veh 2B thru 8B & Buses (HDGV) - Urban Local: Exhaust" "Mobile - On-Road Gasoline Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Urban Local: Exhaust" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"45053" "2270002042" "PM25-PRI" 0.0036730071 "NON-ROAD" 2005 "Nonroad" "Off-highway Diesel /Construction & Mining Equipt /Cement & Mortar Mixers" "Mobile - Non-Road Equipment - Diesel" "" "" "Mobile Sources" "Off-highway Vehicle Diesel" "Construction and Mining Equipment" "Cement and Mortar Mixers" NA NA "" "" ""
"47165" "2296000000" "PM25-PRI" 50.84 "NONPOINT" 2002 "Nonpoint" "Unpaved Roads /All Unpaved Roads /Total: Fugitives" "Dust - Unpaved Road Dust" "Unpaved Roads" "A" "Mobile Sources" "Unpaved Roads" "All Unpaved Roads" "Total: Fugitives" NA NA "" "" ""
"38075" "2104008010" "PM25-PRI" 9.08 "NONPOINT" 2002 "Nonpoint" "Stationary Fuel Comb /Residential /Wood /Woodstoves: General" "Fuel Comb - Residential - Wood" "" "" "Stationary Source Fuel Combustion" "Residential" "Wood" "Woodstoves: General" 2104008300 2005 "" "3/27/2008 0:00:00" ""
"26003" "2267002039" "PM25-PRI" 3.65592e-05 "NON-ROAD" 2008 "Nonroad" "Off-highway LPG /Construction & Mining Equipt /Concrete/Industrial Saws" "Mobile - Non-Road Equipment - Other" "" "" "Mobile Sources" "LPG" "Construction and Mining Equipment" "Concrete/Industrial Saws" NA NA "12/10/1999 0:00:00" "" ""
"48125" "223007117T" "PM25-PRI" 0.0003461801 "ON-ROAD" 2002 "Onroad" "Highway Veh - Diesel - Heavy Duty (HDDV) Class 2B - Rural Major Collector: Tire Wear" "Mobile - On-Road Diesel Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Heavy Duty Diesel Vehicles (HDDV) Class 2B" "Rural Major Collector: Tire Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"46083" "220104019B" "PM25-PRI" 0.0031188491 "ON-ROAD" 2002 "Onroad" "Highway Veh - Gasoline - Light Duty Trucks 3 & 4 - Rural Minor Collector: Brake Wear" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Minor Collector: Brake Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"21085" "220104013B" "PM25-PRI" 0.03 "ON-ROAD" 1999 "Onroad" "Highway Veh - Gasoline - Light Duty Trucks 3 & 4 - Rural Other Principal Arterial: Brake Wear" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Other Principal Arterial: Brake Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"05123" "2265002078" "PM25-PRI" 0 "NON-ROAD" 1999 "Nonroad" "Off-highway Gasoline, 4-Stroke /Construction & Mining Equipt /Dumpers/Tenders" "Mobile - Non-Road Equipment - Gasoline" "" "" "Mobile Sources" "Off-highway Vehicle Gasoline, 4-Stroke" "Construction and Mining Equipment" "Dumpers/Tenders" NA NA "" "" ""
"21187" "2270002015" "PM25-PRI" 0.06 "NON-ROAD" 2002 "Nonroad" "Off-highway Diesel /Construction & Mining Equipt /Rollers" "Mobile - Non-Road Equipment - Diesel" "" "" "Mobile Sources" "Off-highway Vehicle Diesel" "Construction and Mining Equipment" "Rollers" NA NA "" "" ""
"27085" "30501050" "PM25-PRI" 0.17 "POINT" 2002 "Point" "Coal Mining, Cleaning & Material Handling /Vehicle Traffic: Light/Medium Vehicles" "Industrial Processes - Mining" "" "" "Industrial Processes" "Mineral Products" "Coal Mining, Cleaning, and Material Handling (See 305310)" "Vehicle Traffic: Light/Medium Vehicles" NA NA "" "" ""
"21111" "2265001050" "PM25-PRI" 0.26 "NON-ROAD" 1999 "Nonroad" "Off-highway Gasoline, 4-Stroke /Recreational Equipt /Golf Carts" "Mobile - Non-Road Equipment - Gasoline" "" "" "Mobile Sources" "Off-highway Vehicle Gasoline, 4-Stroke" "Recreational Equipment" "Golf Carts" NA NA "" "" ""
"13227" "220108011B" "PM25-PRI" 0.0001941943 "ON-ROAD" 2002 "Onroad" "Highway Veh - Gasoline - Motorcycles (MC) - Rural Interstate: Brake Wear" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Motorcycles (MC)" "Rural Interstate: Brake Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"28095" "220108021T" "PM25-PRI" 0.0001035168 "ON-ROAD" 2002 "Onroad" "Highway Veh - Gasoline - Motorcycles (MC) - Rural Local: Tire Wear" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Motorcycles (MC)" "Rural Local: Tire Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"04007" "2104008030" "PM25-PRI" 0.25 "NONPOINT" 1999 "Nonpoint" "Stationary Fuel Comb /Residential /Wood /Catalytic Woodstoves: General" "Fuel Comb - Residential - Wood" "" "" "Stationary Source Fuel Combustion" "Residential" "Wood" "Catalytic Woodstoves: General" 2104008330 2005 "" "3/27/2008 0:00:00" ""
"08023" "2260003040" "PM25-PRI" 5.15126e-07 "NON-ROAD" 2008 "Nonroad" "Off-highway Gasoline, 2-Stroke /Industrial Equipt /Other General Industrial Equipt" "Mobile - Non-Road Equipment - Gasoline" "" "" "Mobile Sources" "Off-highway Vehicle Gasoline, 2-Stroke" "Industrial Equipment" "Other General Industrial Equipment" NA NA "" "" ""
"26107" "2230072290" "PM25-PRI" 0.000562042 "ON-ROAD" 2008 "Onroad" "Highway Veh - Diesel - Heavy Duty (HDDV) Class 3, 4, & 5 - Urban Minor Arterial: Total" "Mobile - On-Road Diesel Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Heavy Duty Diesel Vehicles (HDDV) Class 3, 4, & 5" "Urban Minor Arterial: Total" NA NA "12/10/1999 0:00:00" "2/13/2002 0:00:00" ""
"23019" "2260002021" "PM25-PRI" 0.00654511727043428 "NON-ROAD" 2002 "Nonroad" "Off-highway Gasoline, 2-Stroke /Construction & Mining Equipt /Paving Equipt" "Mobile - Non-Road Equipment - Gasoline" "" "" "Mobile Sources" "Off-highway Vehicle Gasoline, 2-Stroke" "Construction and Mining Equipment" "Paving Equipment" NA NA "" "" ""
"37045" "2201080110" "PM25-PRI" 0.000664631 "ON-ROAD" 2008 "Onroad" "Highway Veh - Gasoline - Motorcycles (MC) - Rural Interstate: Total" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Motorcycles (MC)" "Rural Interstate: Total" NA NA "" "" ""
"12081" "2267002054" "PM25-PRI" 0 "NON-ROAD" 1999 "Nonroad" "Off-highway LPG /Construction & Mining Equipt /Crushing/Processing Equipt" "Mobile - Non-Road Equipment - Other" "" "" "Mobile Sources" "LPG" "Construction and Mining Equipment" "Crushing/Processing Equipment" NA NA "12/10/1999 0:00:00" "" ""
"21167" "2296000000" "PM25-PRI" 30.04 "NONPOINT" 2002 "Nonpoint" "Unpaved Roads /All Unpaved Roads /Total: Fugitives" "Dust - Unpaved Road Dust" "Unpaved Roads" "A" "Mobile Sources" "Unpaved Roads" "All Unpaved Roads" "Total: Fugitives" NA NA "" "" ""
"47049" "220108017T" "PM25-PRI" 9.60204e-05 "ON-ROAD" 2002 "Onroad" "Highway Veh - Gasoline - Motorcycles (MC) - Rural Major Collector: Tire Wear" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Motorcycles (MC)" "Rural Major Collector: Tire Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"54067" "2302003200" "PM25-PRI" 0.07 "NONPOINT" 2002 "Nonpoint" "Food & Kindred Products /Commercial Cooking - Frying /Clamshell Griddle Frying" "Commercial Cooking" "" "" "Industrial Processes" "Food and Kindred Products: SIC 20" "Commercial Cooking - Frying" "Clamshell Griddle Frying" NA NA "6/6/2003 0:00:00" "2/20/2004 0:00:00" ""
"29041" "2260003040" "PM25-PRI" 2.69445e-06 "NON-ROAD" 2008 "Nonroad" "Off-highway Gasoline, 2-Stroke /Industrial Equipt /Other General Industrial Equipt" "Mobile - Non-Road Equipment - Gasoline" "" "" "Mobile Sources" "Off-highway Vehicle Gasoline, 2-Stroke" "Industrial Equipment" "Other General Industrial Equipment" NA NA "" "" ""
"48239" "220104033T" "PM25-PRI" 0.0006222477 "ON-ROAD" 2002 "Onroad" "Highway Veh - Gasoline - Light Duty Trucks 3 & 4 - Urban Local: Tire Wear" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Local: Tire Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"01059" "2285002015" "PM25-PRI" 0.05 "NON-ROAD" 1999 "Nonroad" "Railroad Equipt /Diesel /Railway Maintenance" "Mobile - Non-Road Equipment - Diesel" "" "" "Mobile Sources" "Railroad Equipment" "Diesel" "Railway Maintenance" NA NA "12/10/1999 0:00:00" "" ""
"13037" "220102015X" "PM25-PRI" 0.06 "ON-ROAD" 2005 "Onroad" "Highway Veh - Gasoline - Light Duty Trucks 1 & 2 - Rural Minor Arterial: Exhaust" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Minor Arterial: Exhaust" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"22019" "2265002060" "PM25-PRI" 0.00234893764718435 "NON-ROAD" 2002 "Nonroad" "Off-highway Gasoline, 4-Stroke /Construction & Mining Equipt /Rubber Tire Loaders" "Mobile - Non-Road Equipment - Gasoline" "" "" "Mobile Sources" "Off-highway Vehicle Gasoline, 4-Stroke" "Construction and Mining Equipment" "Rubber Tire Loaders" NA NA "" "" ""
"06085" "20100102" "PM25-PRI" 0.000967 "POINT" 2008 "Point" "Int Comb /Electric Gen /Distillate Oil (Diesel) /Reciprocating" "Fuel Comb - Electric Generation - Oil" "" "" "Internal Combustion Engines" "Electric Generation" "Distillate Oil (Diesel)" "Reciprocating" NA NA "" "" ""
"19079" "2267002072" "PM25-PRI" 0 "NON-ROAD" 1999 "Nonroad" "Off-highway LPG /Construction & Mining Equipt /Skid Steer Loaders" "Mobile - Non-Road Equipment - Other" "" "" "Mobile Sources" "LPG" "Construction and Mining Equipment" "Skid Steer Loaders" NA NA "12/10/1999 0:00:00" "" ""
"48371" "31000404" "PM25-PRI" 1 "POINT" 1999 "Point" "Oil&Gas Prod /Process Heaters /Natural Gas" "Industrial Processes - Oil & Gas Production" "" "" "Industrial Processes" "Oil and Gas Production" "Process Heaters" "Natural Gas" NA NA "" "" ""
"12107" "220107021X" "PM25-PRI" 0.26 "ON-ROAD" 2005 "Onroad" "Highway Veh - Gasoline - Heavy Duty Veh 2B thru 8B & Buses (HDGV) - Rural Local: Exhaust" "Mobile - On-Road Gasoline Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Rural Local: Exhaust" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"27111" "2275050011" "PM25-PRI" 0.0241038 "POINT" 2008 "Point" "Aircraft /General Aviation /Piston" "Mobile - Aircraft" "" "" "Mobile Sources" "Aircraft" "General Aviation" "Piston" NA NA "7/25/2008 0:00:00" "" ""
"13241" "2267002081" "PM25-PRI" 6.86506e-05 "NON-ROAD" 2005 "Nonroad" "Off-highway LPG /Construction & Mining Equipt /Other Construction Equipt" "Mobile - Non-Road Equipment - Other" "" "" "Mobile Sources" "LPG" "Construction and Mining Equipment" "Other Construction Equipment" NA NA "12/10/1999 0:00:00" "" ""
"45023" "2104008002" "PM25-PRI" 23.41 "NONPOINT" 1999 "Nonpoint" "Stationary Fuel Comb /Residential /Wood /Fireplaces: Insert; non-EPA certified" "Fuel Comb - Residential - Wood" "" "" "Stationary Source Fuel Combustion" "Residential" "Wood" "Fireplaces: Insert; non-EPA certified" 2104008210 2005 "6/21/2001 0:00:00" "3/27/2008 0:00:00" ""
"27139" "220104011B" "PM25-PRI" 0.02 "ON-ROAD" 1999 "Onroad" "Highway Veh - Gasoline - Light Duty Trucks 3 & 4 - Rural Interstate: Brake Wear" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Interstate: Brake Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"54031" "223007221X" "PM25-PRI" 0.0065138928 "ON-ROAD" 2002 "Onroad" "Highway Veh - Diesel - Heavy Duty (HDDV) Class 3, 4, & 5 - Rural Local: Exhaust" "Mobile - On-Road Diesel Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Heavy Duty Diesel Vehicles (HDDV) Class 3, 4, & 5" "Rural Local: Exhaust" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"21231" "2270001060" "PM25-PRI" 0.13 "NON-ROAD" 2005 "Nonroad" "Off-highway Diesel /Recreational Equipt /Specialty Vehicles/Carts" "Mobile - Non-Road Equipment - Diesel" "" "" "Mobile Sources" "Off-highway Vehicle Diesel" "Recreational Equipment" "Specialty Vehicles/Carts" NA NA "" "" ""
"37179" "223007129X" "PM25-PRI" 0.02 "ON-ROAD" 2002 "Onroad" "Highway Veh - Diesel - Heavy Duty (HDDV) Class 2B - Urban Minor Arterial: Exhaust" "Mobile - On-Road Diesel Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Heavy Duty Diesel Vehicles (HDDV) Class 2B" "Urban Minor Arterial: Exhaust" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"72083" "2260002027" "PM25-PRI" 1.47346463563736e-06 "NON-ROAD" 2002 "Nonroad" "Off-highway Gasoline, 2-Stroke /Construction & Mining Equipt /Signal Boards/Light Plants" "Mobile - Non-Road Equipment - Gasoline" "" "" "Mobile Sources" "Off-highway Vehicle Gasoline, 2-Stroke" "Construction and Mining Equipment" "Signal Boards/Light Plants" NA NA "" "12/10/1999 0:00:00" ""
"19099" "220107011B" "PM25-PRI" 0.06 "ON-ROAD" 2002 "Onroad" "Highway Veh - Gasoline - Heavy Duty Veh 2B thru 8B & Buses (HDGV) - Rural Interstate: Brake Wear" "Mobile - On-Road Gasoline Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Rural Interstate: Brake Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"48053" "220100117X" "PM25-PRI" 0.45 "ON-ROAD" 2002 "Onroad" "Highway Veh - Gasoline - Light Duty Vehicles (LDGV) - Rural Major Collector: Exhaust" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Rural Major Collector: Exhaust" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"54055" "2285002006" "PM25-PRI" 12.89 "NON-ROAD" 2005 "Nonpoint" "Railroad Equipment /Diesel /Line Haul Locomotives: Class I Operations" "Mobile - Locomotives" "" "" "Mobile Sources" "Railroad Equipment" "Diesel" "Line Haul Locomotives: Class I Operations" NA NA "6/11/2002 0:00:00" "" ""
"27025" "2267006010" "PM25-PRI" 0.000774239102611319 "NON-ROAD" 2002 "Nonroad" "Off-highway LPG /Commercial Equipt /Pumps" "Mobile - Non-Road Equipment - Other" "" "" "Mobile Sources" "LPG" "Commercial Equipment" "Pumps" NA NA "12/10/1999 0:00:00" "" ""
"49045" "220102015X" "PM25-PRI" 0.12 "ON-ROAD" 2005 "Onroad" "Highway Veh - Gasoline - Light Duty Trucks 1 & 2 - Rural Minor Arterial: Exhaust" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Minor Arterial: Exhaust" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"32003" "2267004066" "PM25-PRI" 0.14 "NON-ROAD" 2005 "Nonroad" "Off-highway LPG /Lawn & Garden Equipt /Chippers/Stump Grinders (Commercial)" "Mobile - Non-Road Equipment - Other" "" "" "Mobile Sources" "LPG" "Lawn and Garden Equipment" "Chippers/Stump Grinders (Commercial)" NA NA "12/10/1999 0:00:00" "" ""
"48291" "2104008230" "PM25-PRI" 0.187915 "NONPOINT" 2008 "Nonpoint" "Stationary Fuel Comb /Residential /Wood /Woodstove: fireplace inserts; EPA certified; catalytic" "Fuel Comb - Residential - Wood" "RWC_StoveInserts" "B" "Stationary Source Fuel Combustion" "Residential" "Wood" "Woodstove: fireplace inserts; EPA certified; catalytic" NA NA "3/27/2008 0:00:00" "" ""
"27149" "2265002081" "PM25-PRI" 1.77213e-05 "NON-ROAD" 2005 "Nonroad" "Off-highway Gasoline, 4-Stroke /Construction & Mining Equipt /Other Construction Equipt" "Mobile - Non-Road Equipment - Gasoline" "" "" "Mobile Sources" "Off-highway Vehicle Gasoline, 4-Stroke" "Construction and Mining Equipment" "Other Construction Equipment" NA NA "" "" ""
"21143" "2270003070" "PM25-PRI" 0.03 "NON-ROAD" 2002 "Nonroad" "Off-highway Diesel /Industrial Equipt /Terminal Tractors" "Mobile - Non-Road Equipment - Diesel" "" "" "Mobile Sources" "Off-highway Vehicle Diesel" "Industrial Equipment" "Terminal Tractors" NA NA "12/10/1999 0:00:00" "" ""
"31033" "220107023X" "PM25-PRI" 0.0042028496 "ON-ROAD" 2002 "Onroad" "Highway Veh - Gasoline - Heavy Duty Veh 2B thru 8B & Buses (HDGV) - Urban Interstate: Exhaust" "Mobile - On-Road Gasoline Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Urban Interstate: Exhaust" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"21069" "220100113X" "PM25-PRI" 0.22 "ON-ROAD" 1999 "Onroad" "Highway Veh - Gasoline - Light Duty Vehicles (LDGV) - Rural Other Principal Arterial: Exhaust" "Mobile - On-Road Gasoline Light Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Rural Other Principal Arterial: Exhaust" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
"28025" "2267006010" "PM25-PRI" 0.000553075 "NON-ROAD" 2008 "Nonroad" "Off-highway LPG /Commercial Equipt /Pumps" "Mobile - Non-Road Equipment - Other" "" "" "Mobile Sources" "LPG" "Commercial Equipment" "Pumps" NA NA "12/10/1999 0:00:00" "" ""
"13009" "223007515T" "PM25-PRI" 0.0007527218 "ON-ROAD" 2002 "Onroad" "Highway Veh - Diesel - Heavy Duty Buses (School & Transit) - Rural Minor Arterial: Tire Wear" "Mobile - On-Road Diesel Heavy Duty Vehicles" "" "" "Mobile Sources" "Highway Vehicles - Diesel" "Heavy Duty Diesel Buses (School & Transit)" "Rural Minor Arterial: Tire Wear" NA 2005 "2/13/2002 0:00:00" "7/25/2008 0:00:00" ""
